año,municipio,geocode,ocupacion,num_casos
2021,Arona,20210101_38006_D01_S009,Ocupaciones elementales,192
2021,Arona,20210101_38006_D01_S009,Trabajadores cualificados y oficiales/operarios de nivel bajo,650
2021,Arona,20210101_38006_D01_S010,Directores/gerentes y profesionales/técnicos de nivel medio o alto,169
2021,Arona,20210101_38006_D01_S010,No consta,38
2021,Arona,20210101_38006_D01_S010,Ocupaciones elementales,174
2021,Arona,20210101_38006_D01_S010,Trabajadores cualificados y oficiales/operarios de nivel bajo,511
2021,Arona,20210101_38006_D01_S011,Directores/gerentes y profesionales/técnicos de nivel medio o alto,274
2021,Arona,20210101_38006_D01_S011,No consta,33
2021,Arona,20210101_38006_D01_S011,Ocupaciones elementales,172
2021,Arona,20210101_38006_D01_S011,Trabajadores cualificados y oficiales/operarios de nivel bajo,908
2021,Arona,20210101_38006_D01_S012,Directores/gerentes y profesionales/técnicos de nivel medio o alto,40
2021,Arona,20210101_38006_D01_S012,No consta,15
2021,Arona,20210101_38006_D01_S012,Ocupaciones elementales,108
2021,Arona,20210101_38006_D01_S012,Trabajadores cualificados y oficiales/operarios de nivel bajo,270
2021,Arona,20210101_38006_D01_S013,Directores/gerentes y profesionales/técnicos de nivel medio o alto,83
2021,Arona,20210101_38006_D01_S013,No consta,34
2021,Arona,20210101_38006_D01_S013,Ocupaciones elementales,321
2021,Arona,20210101_38006_D01_S013,Trabajadores cualificados y oficiales/operarios de nivel bajo,542
2021,Arona,20210101_38006_D01_S014,Directores/gerentes y profesionales/técnicos de nivel medio o alto,173
2021,Arona,20210101_38006_D01_S014,No consta,25
2021,Arona,20210101_38006_D01_S014,Ocupaciones elementales,132
2021,Arona,20210101_38006_D01_S014,Trabajadores cualificados y oficiales/operarios de nivel bajo,665
2021,Arona,20210101_38006_D01_S015,Directores/gerentes y profesionales/técnicos de nivel medio o alto,229
2021,Arona,20210101_38006_D01_S015,No consta,20
2021,Arona,20210101_38006_D01_S015,Ocupaciones elementales,95
2021,Arona,20210101_38006_D01_S015,Trabajadores cualificados y oficiales/operarios de nivel bajo,596
2021,Arona,20210101_38006_D01_S016,Directores/gerentes y profesionales/técnicos de nivel medio o alto,316
2021,Arona,20210101_38006_D01_S016,No consta,36
2021,Arona,20210101_38006_D01_S016,Ocupaciones elementales,179
2021,Arona,20210101_38006_D01_S016,Trabajadores cualificados y oficiales/operarios de nivel bajo,847
2021,Arona,20210101_38006_D01_S017,Directores/gerentes y profesionales/técnicos de nivel medio o alto,53
2021,Arona,20210101_38006_D01_S017,No consta,8
2021,Arona,20210101_38006_D01_S017,Ocupaciones elementales,56
2021,Arona,20210101_38006_D01_S017,Trabajadores cualificados y oficiales/operarios de nivel bajo,195
2021,Arona,20210101_38006_D01_S018,Directores/gerentes y profesionales/técnicos de nivel medio o alto,305
2021,Arona,20210101_38006_D01_S018,No consta,66
2021,Arona,20210101_38006_D01_S018,Ocupaciones elementales,220
2021,Arona,20210101_38006_D01_S018,Trabajadores cualificados y oficiales/operarios de nivel bajo,980
2021,Arona,20210101_38006_D01_S019,Directores/gerentes y profesionales/técnicos de nivel medio o alto,114
2021,Arona,20210101_38006_D01_S019,No consta,27
2021,Arona,20210101_38006_D01_S019,Ocupaciones elementales,75
2021,Arona,20210101_38006_D01_S019,Trabajadores cualificados y oficiales/operarios de nivel bajo,353
2021,Arona,20210101_38006_D01_S020,Directores/gerentes y profesionales/técnicos de nivel medio o alto,254
2021,Arona,20210101_38006_D01_S020,No consta,57
2021,Arona,20210101_38006_D01_S020,Ocupaciones elementales,109
2021,Arona,20210101_38006_D01_S020,Trabajadores cualificados y oficiales/operarios de nivel bajo,715
2021,Arona,20210101_38006_D01_S021,Directores/gerentes y profesionales/técnicos de nivel medio o alto,89
2021,Arona,20210101_38006_D01_S021,No consta,25
2021,Arona,20210101_38006_D01_S021,Ocupaciones elementales,244
2021,Arona,20210101_38006_D01_S021,Trabajadores cualificados y oficiales/operarios de nivel bajo,492
2021,Arona,20210101_38006_D01_S022,Directores/gerentes y profesionales/técnicos de nivel medio o alto,192
2021,Arona,20210101_38006_D01_S022,No consta,39
2021,Arona,20210101_38006_D01_S022,Ocupaciones elementales,157
2021,Arona,20210101_38006_D01_S022,Trabajadores cualificados y oficiales/operarios de nivel bajo,588
2021,Arona,20210101_38006_D01_S023,Directores/gerentes y profesionales/técnicos de nivel medio o alto,106
2021,Arona,20210101_38006_D01_S023,No consta,27
2021,Arona,20210101_38006_D01_S023,Ocupaciones elementales,224
2021,Arona,20210101_38006_D01_S023,Trabajadores cualificados y oficiales/operarios de nivel bajo,476
2021,Arona,20210101_38006_D01_S024,Directores/gerentes y profesionales/técnicos de nivel medio o alto,134
2021,Arona,20210101_38006_D01_S024,No consta,26
2021,Arona,20210101_38006_D01_S024,Ocupaciones elementales,162
2021,Arona,20210101_38006_D01_S024,Trabajadores cualificados y oficiales/operarios de nivel bajo,495
2021,Arona,20210101_38006_D01_S025,Directores/gerentes y profesionales/técnicos de nivel medio o alto,123
2021,Arona,20210101_38006_D01_S025,No consta,20
2021,Arona,20210101_38006_D01_S025,Ocupaciones elementales,108
2021,Arona,20210101_38006_D01_S025,Trabajadores cualificados y oficiales/operarios de nivel bajo,334
2021,Arona,20210101_38006_D01_S026,Directores/gerentes y profesionales/técnicos de nivel medio o alto,309
2021,Arona,20210101_38006_D01_S026,No consta,55
2021,Arona,20210101_38006_D01_S026,Ocupaciones elementales,142
2021,Arona,20210101_38006_D01_S026,Trabajadores cualificados y oficiales/operarios de nivel bajo,782
2021,Arona,20210101_38006_D01_S027,Directores/gerentes y profesionales/técnicos de nivel medio o alto,138
2021,Arona,20210101_38006_D01_S027,No consta,34
2021,Arona,20210101_38006_D01_S027,Ocupaciones elementales,176
2021,Arona,20210101_38006_D01_S027,Trabajadores cualificados y oficiales/operarios de nivel bajo,638
2021,Arona,20210101_38006_D01_S028,Directores/gerentes y profesionales/técnicos de nivel medio o alto,90
2021,Arona,20210101_38006_D01_S028,No consta,34
2021,Arona,20210101_38006_D01_S028,Ocupaciones elementales,213
2021,Arona,20210101_38006_D01_S028,Trabajadores cualificados y oficiales/operarios de nivel bajo,443
2021,Arona,20210101_38006_D01_S029,Directores/gerentes y profesionales/técnicos de nivel medio o alto,44
2021,Arona,20210101_38006_D01_S029,No consta,13
2021,Arona,20210101_38006_D01_S029,Ocupaciones elementales,152
2021,Arona,20210101_38006_D01_S029,Trabajadores cualificados y oficiales/operarios de nivel bajo,271
2021,Arona,20210101_38006_D01_S030,Directores/gerentes y profesionales/técnicos de nivel medio o alto,112
2021,Arona,20210101_38006_D01_S030,No consta,33
2021,Arona,20210101_38006_D01_S030,Ocupaciones elementales,208
2021,Arona,20210101_38006_D01_S030,Trabajadores cualificados y oficiales/operarios de nivel bajo,563
2021,Arona,20210101_38006_D01_S031,Directores/gerentes y profesionales/técnicos de nivel medio o alto,57
2021,Arona,20210101_38006_D01_S031,No consta,28
2021,Arona,20210101_38006_D01_S031,Ocupaciones elementales,267
2021,Arona,20210101_38006_D01_S031,Trabajadores cualificados y oficiales/operarios de nivel bajo,377
2021,Arona,20210101_38006_D01_S032,Directores/gerentes y profesionales/técnicos de nivel medio o alto,175
2021,Arona,20210101_38006_D01_S032,No consta,31
2021,Arona,20210101_38006_D01_S032,Ocupaciones elementales,107
2021,Arona,20210101_38006_D01_S032,Trabajadores cualificados y oficiales/operarios de nivel bajo,452
2021,Arona,20210101_38006_D01_S033,Directores/gerentes y profesionales/técnicos de nivel medio o alto,255
2021,Arona,20210101_38006_D01_S033,No consta,34
2021,Arona,20210101_38006_D01_S033,Ocupaciones elementales,58
2021,Arona,20210101_38006_D01_S033,Trabajadores cualificados y oficiales/operarios de nivel bajo,506
2021,Arona,20210101_38006_D01_S034,Directores/gerentes y profesionales/técnicos de nivel medio o alto,88
2021,Arona,20210101_38006_D01_S034,No consta,22
2021,Arona,20210101_38006_D01_S034,Ocupaciones elementales,91
2021,Arona,20210101_38006_D01_S034,Trabajadores cualificados y oficiales/operarios de nivel bajo,274
2021,Barlovento,20210101_38007_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,109
2021,Barlovento,20210101_38007_D01_S001,No consta,28
2021,Barlovento,20210101_38007_D01_S001,Ocupaciones elementales,89
2021,Barlovento,20210101_38007_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,291
2021,Barlovento,20210101_38007_D01_S002,Directores/gerentes y profesionales/técnicos de nivel medio o alto,40
2021,Barlovento,20210101_38007_D01_S002,No consta,10
2021,Barlovento,20210101_38007_D01_S002,Ocupaciones elementales,43
2021,Barlovento,20210101_38007_D01_S002,Trabajadores cualificados y oficiales/operarios de nivel bajo,122
2021,Breña Alta,20210101_38008_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,133
2021,Breña Alta,20210101_38008_D01_S001,No consta,14
2021,Breña Alta,20210101_38008_D01_S001,Ocupaciones elementales,77
2021,Breña Alta,20210101_38008_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,285
2021,Breña Alta,20210101_38008_D01_S002,Directores/gerentes y profesionales/técnicos de nivel medio o alto,270
2021,Breña Alta,20210101_38008_D01_S002,No consta,26
2021,Breña Alta,20210101_38008_D01_S002,Ocupaciones elementales,96
2021,Breña Alta,20210101_38008_D01_S002,Trabajadores cualificados y oficiales/operarios de nivel bajo,445
2021,Breña Alta,20210101_38008_D01_S003,Directores/gerentes y profesionales/técnicos de nivel medio o alto,325
2021,Breña Alta,20210101_38008_D01_S003,No consta,30
2021,Breña Alta,20210101_38008_D01_S003,Ocupaciones elementales,108
2021,Breña Alta,20210101_38008_D01_S003,Trabajadores cualificados y oficiales/operarios de nivel bajo,483
2021,Breña Alta,20210101_38008_D01_S004,Directores/gerentes y profesionales/técnicos de nivel medio o alto,154
2021,Breña Alta,20210101_38008_D01_S004,No consta,27
2021,Breña Alta,20210101_38008_D01_S004,Ocupaciones elementales,123
2021,Breña Alta,20210101_38008_D01_S004,Trabajadores cualificados y oficiales/operarios de nivel bajo,382
2021,Breña Baja,20210101_38009_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,308
2021,Breña Baja,20210101_38009_D01_S001,No consta,23
2021,Breña Baja,20210101_38009_D01_S001,Ocupaciones elementales,104
2021,Breña Baja,20210101_38009_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,455
2021,Breña Baja,20210101_38009_D01_S002,Directores/gerentes y profesionales/técnicos de nivel medio o alto,247
2021,Breña Baja,20210101_38009_D01_S002,No consta,39
2021,Breña Baja,20210101_38009_D01_S002,Ocupaciones elementales,110
2021,Breña Baja,20210101_38009_D01_S002,Trabajadores cualificados y oficiales/operarios de nivel bajo,423
2021,Breña Baja,20210101_38009_D01_S003,Directores/gerentes y profesionales/técnicos de nivel medio o alto,152
2021,Breña Baja,20210101_38009_D01_S003,No consta,8
2021,Breña Baja,20210101_38009_D01_S003,Ocupaciones elementales,21
2021,Breña Baja,20210101_38009_D01_S003,Trabajadores cualificados y oficiales/operarios de nivel bajo,192
2021,Breña Baja,20210101_38009_D01_S004,Directores/gerentes y profesionales/técnicos de nivel medio o alto,119
2021,Breña Baja,20210101_38009_D01_S004,No consta,14
2021,Breña Baja,20210101_38009_D01_S004,Ocupaciones elementales,37
2021,Breña Baja,20210101_38009_D01_S004,Trabajadores cualificados y oficiales/operarios de nivel bajo,209
2021,Buenavista del Norte,20210101_38010_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,103
2021,Buenavista del Norte,20210101_38010_D01_S001,No consta,14
2021,Buenavista del Norte,20210101_38010_D01_S001,Ocupaciones elementales,107
2021,Buenavista del Norte,20210101_38010_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,225
2021,Buenavista del Norte,20210101_38010_D01_S002,Directores/gerentes y profesionales/técnicos de nivel medio o alto,36
2021,Buenavista del Norte,20210101_38010_D01_S002,No consta,6
2021,Buenavista del Norte,20210101_38010_D01_S002,Ocupaciones elementales,58
2021,Buenavista del Norte,20210101_38010_D01_S002,Trabajadores cualificados y oficiales/operarios de nivel bajo,139
2021,Buenavista del Norte,20210101_38010_D01_S003,Directores/gerentes y profesionales/técnicos de nivel medio o alto,96
2021,Buenavista del Norte,20210101_38010_D01_S003,No consta,10
2021,Buenavista del Norte,20210101_38010_D01_S003,Ocupaciones elementales,128
2021,Buenavista del Norte,20210101_38010_D01_S003,Trabajadores cualificados y oficiales/operarios de nivel bajo,233
2021,Buenavista del Norte,20210101_38010_D01_S004,Directores/gerentes y profesionales/técnicos de nivel medio o alto,97
2021,Buenavista del Norte,20210101_38010_D01_S004,No consta,14
2021,Buenavista del Norte,20210101_38010_D01_S004,Ocupaciones elementales,137
2021,Buenavista del Norte,20210101_38010_D01_S004,Trabajadores cualificados y oficiales/operarios de nivel bajo,245
2021,Candelaria,20210101_38011_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,249
2021,Candelaria,20210101_38011_D01_S001,No consta,43
2021,Candelaria,20210101_38011_D01_S001,Ocupaciones elementales,79
2021,Candelaria,20210101_38011_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,440
2021,Candelaria,20210101_38011_D01_S002,Directores/gerentes y profesionales/técnicos de nivel medio o alto,206
2021,Candelaria,20210101_38011_D01_S002,No consta,22
2021,Candelaria,20210101_38011_D01_S002,Ocupaciones elementales,61
2021,Candelaria,20210101_38011_D01_S002,Trabajadores cualificados y oficiales/operarios de nivel bajo,280
2021,Candelaria,20210101_38011_D01_S003,Directores/gerentes y profesionales/técnicos de nivel medio o alto,349
2021,Candelaria,20210101_38011_D01_S003,No consta,29
2021,Candelaria,20210101_38011_D01_S003,Ocupaciones elementales,106
2021,Candelaria,20210101_38011_D01_S003,Trabajadores cualificados y oficiales/operarios de nivel bajo,623
2021,Candelaria,20210101_38011_D01_S004,Directores/gerentes y profesionales/técnicos de nivel medio o alto,179
2021,Candelaria,20210101_38011_D01_S004,No consta,22
2021,Candelaria,20210101_38011_D01_S004,Ocupaciones elementales,54
2021,Candelaria,20210101_38011_D01_S004,Trabajadores cualificados y oficiales/operarios de nivel bajo,327
2021,Candelaria,20210101_38011_D01_S005,Directores/gerentes y profesionales/técnicos de nivel medio o alto,170
2021,Candelaria,20210101_38011_D01_S005,No consta,10
2021,Candelaria,20210101_38011_D01_S005,Ocupaciones elementales,35
2021,Candelaria,20210101_38011_D01_S005,Trabajadores cualificados y oficiales/operarios de nivel bajo,221
2021,Candelaria,20210101_38011_D01_S006,Directores/gerentes y profesionales/técnicos de nivel medio o alto,332
2021,Candelaria,20210101_38011_D01_S006,No consta,28
2021,Candelaria,20210101_38011_D01_S006,Ocupaciones elementales,72
2021,Candelaria,20210101_38011_D01_S006,Trabajadores cualificados y oficiales/operarios de nivel bajo,469
2021,Candelaria,20210101_38011_D01_S007,Directores/gerentes y profesionales/técnicos de nivel medio o alto,391
2021,Candelaria,20210101_38011_D01_S007,No consta,36
2021,Candelaria,20210101_38011_D01_S007,Ocupaciones elementales,57
2021,Candelaria,20210101_38011_D01_S007,Trabajadores cualificados y oficiales/operarios de nivel bajo,534
2021,Candelaria,20210101_38011_D01_S008,Directores/gerentes y profesionales/técnicos de nivel medio o alto,146
2021,Candelaria,20210101_38011_D01_S008,No consta,19
2021,Candelaria,20210101_38011_D01_S008,Ocupaciones elementales,53
2021,Candelaria,20210101_38011_D01_S008,Trabajadores cualificados y oficiales/operarios de nivel bajo,255
2021,Candelaria,20210101_38011_D01_S009,Directores/gerentes y profesionales/técnicos de nivel medio o alto,197
2021,Candelaria,20210101_38011_D01_S009,No consta,9
2021,Candelaria,20210101_38011_D01_S009,Ocupaciones elementales,29
